promotion_id,promotion_name,start_date,end_date,discount_percentage,min_qty_for_promo,applicable_product_id,applicable_category
501,Diwali Special - 10% Off,2023-12-10,2024-02-28,13.07,,108.0,
502,Back to School Offer,2024-07-13,2024-09-17,24.58,,135.0,
503,Monsoon Mania - Flat 15% Off,2024-12-07,2025-02-24,23.25,1.0,144.0,
504,Healthy Start Discount,2024-12-19,2025-03-16,6.41,,142.0,
505,Summer Delight - BOGO 50% Off,2023-07-30,2023-09-11,16.1,,147.0,
506,Combo Deal - Cereal + Milk Discount,2024-06-24,2024-08-11,16.68,,107.0,
507,New Product Launch - Introductory Offer,2024-10-24,2024-12-24,9.62,2.0,105.0,
508,Weekend Rush - 20% on Snacks,2024-03-28,2024-06-02,16.07,,106.0,
509,Combo Deal - Cereal + Milk Discount,2024-05-16,2024-07-08,10.65,,161.0,
510,Healthy Start Discount,2023-10-10,2023-11-17,6.43,,,Plant-based
511,Back to School Offer,2023-12-03,2024-02-11,6.95,2.0,129.0,
512,Diwali Special - 10% Off,2024-08-15,2024-10-13,22.18,,125.0,
513,Weekend Rush - 20% on Snacks,2023-08-13,2023-10-31,16.37,,143.0,
514,Diwali Special - 10% Off,2024-04-22,2024-05-23,10.65,2.0,105.0,
515,Back to School Offer,2024-01-26,2024-03-31,13.29,,135.0,
516,Combo Deal - Cereal + Milk Discount,2024-12-14,2025-02-28,14.95,2.0,141.0,
517,New Product Launch - Introductory Offer,2024-01-28,2024-03-29,6.81,2.0,103.0,
518,Weekend Rush - 20% on Snacks,2023-09-19,2023-11-14,23.81,1.0,161.0,
519,Diwali Special - 10% Off,2023-10-19,2023-12-22,22.65,,103.0,
520,Healthy Start Discount,2024-10-15,2024-11-16,24.33,1.0,111.0,
